order_id,customer_id,customer_name,email,phone,city,state,country,product_id,product_name,category,quantity,unit_price,discount,total_amount,payment_method,order_status,order_date,shipping_address,delivery_days
ORD000001,CUST2223,Randall Patel,christopherbryant@hays.com,7264263469,South Keithton,Ohio,Cameroon,PROD156,Offer Bag,Books,4,12541.49,0.19,40634.43,Cash on Delivery,Delivered,2024-04-20,"63429 Clarke Curve Suite 144, New Laurenchester, CA 17218",1
ORD000002,CUST4974,Amanda Weber DVM,jonathon96@hotmail.com,+1-872-739-6298x78004,East Leslieland,West Virginia,Mexico,PROD306,Term Shoes,Beauty,5,18080.95,0.29,64187.37,Cash on Delivery,Delivered,2025-01-24,"28084 Andrea Courts Suite 784, Vincentfurt, OK 96778",3
ORD000003,CUST2636,Jonathan Owens,bakerpaul@jackson.com,049.675.8411x55899,Harrisonport,Utah,Lithuania,PROD609,Maybe Bag,Beauty,5,25843.07,0.39,78821.36,Cash on Delivery,Cancelled,2024-11-06,"414 Susan Ranch, South Donald, ND 76700",7
ORD000004,CUST8339,Mrs. Brittney Ellis,john76@hotmail.com,001-599-611-6108x812,Cristinaland,South Carolina,Burundi,PROD724,Threat Table,Toys,5,21994.03,0.18,90175.52,Debit Card,Cancelled,2024-02-05,"34881 Jones Trafficway Apt. 412, Wilsonport, UT 91895",10
ORD000005,CUST8513,Linda Anderson,carrie01@hotmail.com,(790)683-4911,Kingstad,New York,Ireland,PROD539,Player Phone,Beauty,2,9776.64,0.13,17011.35,Net Banking,Delivered,2024-08-21,"7425 Mary Plaza Suite 349, Youngshire, WY 43008",9
ORD000006,CUST7302,Lisa Miller,fishertimothy@gmail.com,6530622822,West Brandimouth,Iowa,Bolivia,PROD432,Mind Watch,Books,3,7216.63,0.04,20783.89,Debit Card,Returned,2024-04-06,"4975 Hall Camp Suite 700, Port Andrewfort, DC 26217",5
ORD000007,CUST5283,Barbara Nichols,thenderson@hotmail.com,958-402-8136x902,Port Marissashire,Mississippi,Finland,PROD921,Dinner Phone,Toys,4,1535.71,0.36,3931.42,Net Banking,Processing,2024-11-01,"8756 Foster Shoal, Michaelchester, IN 81353",6
ORD000008,CUST5510,Anna Conner,russellrichardson@gmail.com,320-973-9972,New Jeremyburgh,Massachusetts,Malawi,PROD201,Feel Bag,Grocery,3,752.76,0.24,1716.29,Net Banking,Processing,2024-11-26,"52606 Jenny Drive, Christinaville, WY 00815",9
ORD000009,CUST2190,Molly Anderson,larnold@henry-roberts.info,459-990-2603x1029,West Erikborough,New Jersey,Gibraltar,PROD234,Standard Watch,Home & Kitchen,4,5874.29,0.28,16917.96,UPI,Cancelled,2024-01-07,"57924 Debra Forks Suite 995, Hayneston, AK 80126",9
ORD000010,CUST9193,Michael Keller,terryashley@yahoo.com,6564950227,East Lindaland,Kentucky,Mozambique,PROD546,Address Bag,Toys,4,48350.14,0.18,158588.46,Net Banking,Returned,2025-05-13,"5957 Gonzales Turnpike Suite 404, Knoxtown, NH 67857",3
